"id","title","body","created_at","closed_at","days_to_close","issue_priority","milestone","author_name","user_atribute_to_resolve_issue","issue_classification"
12,"duplicate code in python_arg_parser.cpp ","### 🐛 Describe the bug




‘static bool is_int_list(
    PyObject* obj,
    int broadcast_size,
    int64_t* failed_idx = nullptr) {
  if (PyTuple_Check(obj) || PyList_Check(obj)) {
    auto len = PySequence_Size(obj);
    if (len == 0) {
      return true;
    }

    auto item = py::reinterpret_steal<py::object>(PySequence_GetItem(obj, 0));
    bool int_first = false;
    if (THPUtils_checkIndex(item.ptr())) {
      // we still have to check that the rest of items are NOT symint nodes
      int_first = true;
    }

    // Make sure none of the later arguments are SymInt
    // NB: do NOT check that the later arguments are ints, as this is
    // BC-breaking for FX
    for (Py_ssize_t i = 1; i < len; i++) {
      if (torch::is_symint(
              py::reinterpret_steal<py::object>(PySequence_GetItem(obj, i)))) {
        if (failed_idx != nullptr) {
          *failed_idx = i;
        }
        return false;
      }
    }

    if (int_first) {
      return true;
    }

    // in dynamo, FakeTensor is qualified for INT_LIST
    if (is_dynamo_compiling && THPVariable_Check(item.ptr())) {
      auto& var = THPVariable_Unpack(item.ptr());
      if (var.numel() != 1 || !var.sizes().empty() ||
          !at::isIntegralType(
              var.dtype().toScalarType(), /*include_bool*/ true)) {
        if (failed_idx != nullptr) {
          *failed_idx = 0;
        }
        return false;
      }
      return true;
    }

    // NOTE: JIT tracer allows arbitrary scalar tensors to act as ints
    // in an intlist argument. Even float or complex scalar tensors.
    bool r =
        (jit::tracer::isTracing() && THPVariable_Check(item.ptr()) &&
         THPVariable_Unpack(item.ptr()).sizes().empty());
    if (!r && failed_idx != nullptr) {
      *failed_idx = 0;
    }
    return r;
  }
  // if a size is specified (e.g. IntArrayRef[2]) we also allow passing a single
  // int
  return broadcast_size > 0 && THPUtils_checkLong(obj);
}
‘
for above code, main part of it is duplicated with is_int_or_symint_list, except the `is_int_or_symint` check part.
it is annoying and hard to follow.

### Versions

branch main:
commit: [aa390ce](https://github.com/pytorch/pytorch/commit/aa390cec21108a17710be134190b4d7654222fed)

cc @ezyang @bhosmer @smessmer @ljk53 @bdhirsh","2023-12-01","2023-12-07","6","priorized",NULL,"bruceSz","zou3519","OTHERS"
13,"Why is flake8 F821 disabled","Flake8 F821 ""undefined name"" is one of the most useful flake8 rules (see recent https://github.com/pytorch/pytorch/pull/112336 as an example).

Yet the rule is disabled:
https://github.com/pytorch/pytorch/blob/bbd5b935e49a54578ac88cb23ca962ab896a8c7a/.flake8#L10
https://github.com/pytorch/pytorch/blob/bbd5b935e49a54578ac88cb23ca962ab896a8c7a/pyproject.toml#L43

I think the rule needs to be at least selectively enabled. There are currently multiple actual issues in the codebase that can be caught by this rules.","2023-10-30","2024-01-01","63","priorized",NULL,"Sergii Dymchenko","Skylion007","OTHERS"
14,"Remove parameter `self` in `typeConvertIndices`","### 🚀 The feature, motivation and pitch

In the file `aten/src/ATen/TensorIndexing.h`, there's a function `typeConvertIndices`:

```c++
static inline c10::List<c10::optional<Tensor>> typeConvertIndices(
    const Tensor& /*self*/,
    std::vector<Tensor>&& indices) {
  c10::List<c10::optional<Tensor>> converted_inds;
  converted_inds.reserve(indices.size());
  for (const auto& i : indices) {
    converted_inds.push_back(std::move(i));
  }
  return converted_inds;
}
```

This function is later invoked by `dispatch_index_put_`:

```c++
static inline Tensor dispatch_index_put_(
    Tensor& self,
    std::vector<Tensor>&& indices,
    const Tensor& value) {
  return self.index_put_(
      impl::typeConvertIndices(self, std::move(indices)), value);
}
```

Upon inspection, I'm unsure about the necessity of passing the `self` parameter to `typeConvertIndices` as it seems to be unused within the function. Is it possible to simplify the function to:

```c++
static inline c10::List<c10::optional<Tensor>> typeConvertIndices(std::vector<Tensor>&& indices) {
  c10::List<c10::optional<Tensor>> converted_inds;
  converted_inds.reserve(indices.size());
  for (const auto& i : indices) {
    converted_inds.push_back(std::move(i));
  }
  return converted_inds;
}
```

by removing the `self` parameter?

### Alternatives

_No response_

### Additional context

_No response_","2023-08-25","2023-11-17","84","priorized",NULL,"Wentao Ye","yewentao256","OTHERS"
15,"Add .devcontainer to PyTorch and ensure local CPU development works","# Sumary

First step in this project: #106713 

## Status = Done
This support was added in this PR: https://github.com/pytorch/pytorch/pull/98252



Uploading pytorch_dev_container_start.mov…

","2023-08-07","2023-08-07","0","priorized",NULL,"Driss Guessous","drisspg","OTHERS"
16,"Enable more flake8-bugbear lints","### 🚀 The feature, motivation and pitch

* There are a lot of flake8-bugbear code reported by flake8-bugbear and ruff that need to be fixed. These would be a good starting issue for a new contributor.

This can be found be removing the codes from the ignore list in the .flake8 file and the .pyproject file for ruff.

- [ ] ""B007"", 
- [ ] ""B008"" 
- [ ] ""B017"",
- [ ] ""B018"", # Useless expression
- [ ] ""B019"", 
- [ ] ""B020"",
- [ ] ""B023"", 
- [ ] ""B024"", 
- [ ] ""B026"",
- [ ] ""B028"", # No explicit `stacklevel` keyword argument found
- [ ] ""B904"",

### Alternatives

_No response_

### Additional context

_No response_","2023-08-03","2023-11-07","96","priorized",NULL,"Aaron Gokaslan","Skylion007","OTHERS"
17,"Add actual dtype to RuntimeError(""mat1 and mat2 must have the same dtype"")","### 🚀 The feature, motivation and pitch

I was doing some testing and get the error message `RuntimeError(""mat1 and mat2 must have the same dtype"")` from a linear layer. The problem is fixed, but I would have found the issue faster, if the error message told me that one mat was float32 and the other float64. I.e. `RuntimeError(""mat1 and mat2 must have the same dtype, but got torch.float32 and torch.float64"")`.



### Alternatives

_No response_

### Additional context

_No response_

cc @albanD @mruberry @jbschlosser @walterddr @mikaylagawarecki","2023-07-14","2023-07-17","3","low priority",NULL,"danielkallendorf","danielkallendorf","OTHERS"
18,"Refactor Adam and AdamW by abstracting out common code","AdamW differs with Adam only in the weight_decay handling. Everything else is the same. We should reuse code instead of hosting the same exact logic in two places.

One way to do this is to have certain functions in adam.py that can be accessed in adamw.py. The main work that would need to be done would be consolidating the forloop and foreach implementations. The fused implementation already takes advantage of the commonality. 

cc @vincentqb @jbschlosser @albanD @crcrpar","2023-07-10","2024-12-23","532","priorized",NULL,"Jane (Yuan) Xu","qqaatw","OTHERS"
19,"Validate buffer dtype in pre-forward hook for FSDP mixed precision tests","### 🚀 The feature, motivation and pitch

As per the comment in https://github.com/pytorch/pytorch/pull/104682/files, `test_full_precision_in_eval_buffers` would be more robust if we used an nn.Module pre-forward hook to validate the expected buffer dtype, instead of doing so after the forward pass. This would ensure that the computation took place in the right dtype.

### Alternatives

_No response_

### Additional context

_No response_

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @awgu","2023-07-06","2023-08-03","28","priorized",NULL,"Rohan Varma","awgu","OTHERS"
20,"FlopCounterMode should support removing its hooks","### 🚀 The feature, motivation and pitch

`FlopCounterMode` leaves hooks installed on the `nn.Module` used:

```python
import torch

from torch.utils.flop_counter import FlopCounterMode

model = torch.nn.Linear(100, 100)
x = torch.randn(3, 100)

flop_counter = FlopCounterMode(model)
with flop_counter:
    model(x).sum().backward()

print(model._forward_hooks)  # OrderedDict([(1, <function FlopCounterMode._exit_module.<locals>.f at 0x7f681ab4aca0>)])
```

Introduce `FlopCounterMode.remove()` to remove these two hooks

https://github.com/pytorch/pytorch/blob/f2900420da9cd96465e84071b6fe1f7c110ed527/torch/utils/flop_counter.py#L255-L256

### Alternatives

Another option would be to install these hooks and remove them on `__enter__` and `__exit__`, removing the need to call `.remove()` after.

### Additional context

cc @Chillee as the author in https://github.com/pytorch/pytorch/commit/1b1b9c870695f8d0e2796f06f36d9f7709b5080e","2023-06-15","2023-06-20","5","priorized",NULL,"Carlos Mocholí","Carlos Mocholí","OTHERS"
21,"[BE] Refactor logic for MultiTensorApply","### 🚀 The feature, motivation and pitch

Context: https://github.com/pytorch/pytorch/pull/100811#discussion_r1187576042

It would be a valuable next step to refactor the multitensorapply code to allow for better engineering in terms of clarity. The code currently is convoluted and we should break up the for-loop into separate preprocessing and kernel call steps. Desirable outcomes:
- allow people to more easily understand what is going on
- lessen the chance that bugs will be introduced accidentally

### Alternatives

do nothing

### Additional context

_No response_

cc @crcrpar @mcarilli @ngimel","2023-05-10","2023-12-14","218","priorized",NULL,"Jane (Yuan) Xu","crcrpar","OTHERS"
22,"[BE] More informative error messages in `THPVariable_set_grad`","https://github.com/pytorch/pytorch/blob/31f311a816c026bbfca622d6121d6a7fab44260d/torch/csrc/autograd/python_variable.cpp#L896
When the gradient metadata does not match the corresponding tensor's metadata, `THPVariable_set_grad()` raises an error, e.g.:
```
RuntimeError: assigned grad has data of a different type
```
Including what leads to the mismatch would be very helpful. For example, for the above message, if we could see something like:
```
RuntimeError: assigned grad has data of type torch.float16 that differs from the required torch.float32
```
A similar idea applies for mismatched devices and sizes.


cc @ezyang @albanD @zou3519 @gqchen @pearu @nikitaved @soulitzer @Lezcano @Varal7 @malfet","2023-04-27","2023-05-11","14","priorized",NULL,"Andrew Gu","albanD","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
23,"PT2 CI Improvements Tracker","Use this for tracking CI improvement tasks. If you want to request a CI improvement, you can comment in this issue.

- [ ] Fix flaky accuracy failures, e.g. dla120 (@desertfire )
- [ ] #97504
- [x] #97459
- [ ] Auto update the CI skip list for benchmark tests (this is blocked by the flakiness debugging)
- [ ] Create a separate list for tests that fail on A10g but pass on A100 because of OOM, and run those tests separately on A100
- [x] Add dynamo-eager benchmark accuracy test into `periodic`
","2023-03-22","2023-07-07","107","priorized",NULL,"Bin Bao","Bin Bao","OTHERS"
24,"Unify _cast_fp_inputs_to_dtype and buffer dtype casting with DDP","### 🐛 Describe the bug

DDP mixed precision uses similar methods as FSDP to cast inputs and buffers, we should unify these under torch.distributed.utils.

### Versions

n/a

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @awgu","2023-03-08","2023-06-04","88","priorized",NULL,"Rohan Varma","awgu","OTHERS"
25,"[BE] Make ActivationWrapper an abstract class","### 🚀 The feature, motivation and pitch

As mentioned in the comments for `ActivationWrapper` in torch.distributed's activation checkpoint code, it is not meant to be instantiated directly, so we should just prevent this via using an abstract class.

### Alternatives

_No response_

### Additional context

_No response_

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @awgu","2023-02-24","2024-07-02","494","low priority",NULL,"Rohan Varma","Rohan Varma","SOFTWARE ARCHITECTURE, PATTERNS AND ARCHITECTURAL STYLES"
26,"[ONNX] Circular import issue between torch.onnx and torch.onnx._internal.fx","torch.onnx and torch.onnx._internal.fx can't share common files right now due to circular import problems. If this can be fixed, the common functions in files, such as onnx_proto_utils.py/verification.py/options.py, could be used from both sides.

cc @BowenBao @justinchuby @wschin ","2023-02-14","2023-02-14","0","low priority",NULL,"Ti-Tai Wang","BowenBao","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
27,"[BE]: Add ruff to lintrunner - use for additional plugins like pyupgrade etc.","### 🚀 The feature, motivation and pitch

* The PyTorch codebase is huge. Formatting and linting the repo takes a lot of time. Additionally, adding new linters is a bit of challenge. https://github.com/charliermarsh/ruff is a Rust linter/fixer that implements rules for the most common of flake8 linters (pyupgrade, flake8, isort, popular flake8-plugins etc). Many of our existing linters can be combined here. The only downside is that it does reduce the number of flake8-plugins we can use (since they are all reimplemented in the framework), but it does many of the autofixes. Even if we don't replace flake8 etc with this plugin, we can use it supplement it, by using it only for other modules like pyupgrade (where you can select individual pyupgrade rules etc.). I've been using to implement various PRs and it's pretty reasonable so far. See https://github.com/pytorch/pytorch/issues/94040

### Alternatives

Keep the existing linters

### Additional context

It's also really, really fast!

cc @malfet @seemethere","2023-02-13","2023-04-24","70","priorized",NULL,"Aaron Gokaslan","Aaron Gokaslan","OTHERS"
28,"Consider upgrade to Python 3.8+ syntax with `pyupgrade`","### 🚀 The feature, motivation and pitch

PyTorch now supports Python 3.8+ only.

https://github.com/pytorch/pytorch/blob/ca8450849bcfd694c4ddfb9160cd87648cfcec48/setup.py#L216-L222

But there are still many legacy Python syntaxes in the codebase. Such as:

Redundant `object` inherence:

```diff
- class A(object):
+ class A:
      ...
```

`super` call:

```diff
  class A:
      pass

  class B(A):
      def __init__(self):
-         super(B, self).__init__()
+         super().__init__()
```

string format:

```diff
- '%s' % x
+ f""{x}""
- '{}'.format(x)
+ f""{x}""
```

There is a tool [`pyupgrade`](https://github.com/asottile/pyupgrade) that can automatically update the code. The migration can be easily done by:

```bash
pyupgraede --py38-plus $(find torch -name '*.py' -o -name '*.pyi')
lintrunner -a
```

It would be nice if you consider `pre-commit` integration to apply this for future code changes.

### Alternatives

_No response_

### Additional context

_No response_

cc @malfet @seemethere @ezyang @bhosmer @smessmer @ljk53 @bdhirsh","2023-02-03","2023-07-31","178","priorized",NULL,"Xuehai Pan","Skylion007","OTHERS"
29,"fully_shard: load optim state not tested","### 🚀 The feature, motivation and pitch

https://github.com/pytorch/pytorch/blob/master/test/distributed/_composable/fully_shard/test_fully_shard_optim_checkpoint.py are unittests for fully_shard + optim checkpoint, but these do not appear to actually test the load API. 

Marking as high pri due to the composability effort requiring this.

### Alternatives

_No response_

### Additional context

_No response_

cc @ezyang @gchanan @zou3519 @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @awgu @vincentqb @jbschlosser @albanD @janeyx99","2023-01-30","2023-06-04","125","high priority",NULL,"Rohan Varma","rohan-varma","OTHERS"
30,"[BE] Don't use a vector to hold retains_grad hooks","Currently retains_grad field on autograd_meta is stored as a vector of hooks due to historical reasons. But since that field should only a single hook, we can simplify the code to no longer use a vector.

Versions:
After https://github.com/pytorch/pytorch/pull/85849 lands

cc @ezyang @albanD @zou3519 @gqchen @pearu @nikitaved @Lezcano @Varal7","2023-01-11","2023-03-08","56","priorized",NULL,"Jeffrey Wan","soulitzer","OTHERS"
31,"[Dispatchable Collectives] Remove redundancy in ProcessGroup Ops","After https://github.com/pytorch/pytorch/pull/88330 is landed, there are redundant dispatcher operations in ProcessGroup.hpp and Ops.cpp. We should remove the implementations in Ops.cpp, update the pybinded definitions of ProcessGroup to call ProcessGroup colllectives directly, and update any references to Ops.cpp dispatching

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @kwen2501 @awgu","2022-12-15","2023-02-09","56","priorized",NULL,"Howard Huang","Howard Huang","OTHERS"
32,"Test that `import torch` does not change global logging state","## Issue description

`import torch` should not change global logging state. In general, no imports of torch or submodules should change global logging state (and imports should generally not change global state).

We've ran into a couple of situations in the past where people modify the global logging module:
- https://github.com/pytorch/pytorch/issues/85952

This issue is to track the addition of a test that checks that `import torch` doesn't change global logging state.
","2022-10-24","2022-10-26","2","low priority",NULL,"Richard Zou","Richard Zou","OTHERS"
33,"Replace signature in autocast registrations ","## Issue description

Autocast uses a macro to define rules for each operator:

https://github.com/pytorch/pytorch/blob/8c6d352bcfa3a8d2f7322d3577117b2d432cd002/aten/src/ATen/autocast_mode.cpp#L305-L309

The macro needs to accept SIGNATURE. Since we've added the at::_ops namespace, we can actually get the SIGNATURE for an op easily, it is `decltype(&ATEN_FN(op))`. This is what we do in functorch.

Deleting the `SIGNATURE` argument would let us clean up all the registrations https://github.com/pytorch/pytorch/blob/8c6d352bcfa3a8d2f7322d3577117b2d432cd002/aten/src/ATen/autocast_mode.cpp#L330-L339

One reason why we might not want to use `decltype(&ATEN_FN(op))` is because the at::_ops namespace doesn't have a good interaction with SymInt operators right now. So I'm not sure this cleanup is worth it. cc @mcarilli @ptrblck @ezyang @bdhirsh 
","2022-10-05","2022-10-07","2","priorized",NULL,"Richard Zou","zou3519","OTHERS"
34,"`dtype` arg in `cumsum` is passed around in the implementation, but it's not used.","### 🐛 Describe the bug

https://github.com/pytorch/pytorch/blob/8da704cdb7f68bfa09516e7be17f004b98c48eb3/aten/src/ATen/native/ReduceOps.cpp#L389-L405

We should not pass it around as it's not used.

cc @ysiraichi 

### Versions

master","2022-10-04","2022-10-07","3","priorized",NULL,"Mario Lezcano Casado","lezcano","OTHERS"
35,"[ONNX] Parameterize test_utility_functions","Test suits in test_utility_functions can be parameterized","2022-09-26","2022-10-15","19","priorized",NULL,"Justin Chu","justinchuby","OTHERS"
36,"[FSDP] MixedPrecision, CPUOffload, BackwardPrefetch etc should be documented","### 📚 The doc issue

These are auxiliary data structures that do not show up in master documentation, should fix before 1.13 release: https://pytorch.org/docs/master/fsdp.html?highlight=fullyshardeddataparallel#torch.distributed.fsdp.FullyShardedDataParallel

### Suggest a potential alternative/fix

_No response_

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501","2022-09-20","2023-11-07","413","priorized",NULL,"Rohan Varma","spzala","OTHERS"
